Site,Site_name,Site_num,VOR,DB.P,DB.Ht,W.P,W.Ht,E.P,E.Ht,A.P,A.Ht,H.P,H.Ht,L.P,L.Ht,B.P,Common_name,Vis
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,American Golden-Plover,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,American Pipit,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,American Robin,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,American Tree Sparrow,2
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Arctic Warbler,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Bar-tailed Godwit,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Black-bellied Plover,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Blackpoll Warbler,1
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Bluethroat,1
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Bristle-thighed Curlew,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Cackling Goose,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Common Raven,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Common Redpoll,2
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Dunlin,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Eastern Yellow Wagtail,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Fox Sparrow,7
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Glaucous Gull,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Golden-crowned Sparrow,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Golden Eagle,0
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Gray-cheeked Thrush,3
BunkerHill11,BunkerHill,11,4.55,2.5,4.5,0.8,2.26,2.9,3.09,0.1,0.97,1.8,3.05,0,0,0.6,Hoary Redpoll,9
