Site,V1,V2,V3,Species_code,Common_name,Scientific_name
BunkerHill11,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill12,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill13,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill14,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill15,2,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill16,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill17,2,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill21,0,1,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill22,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill23,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill24,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill25,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill26,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill27,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek11,0,0,1,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek110,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek111,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek112,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek113,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek114,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek115,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek116,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek117,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek118,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek119,0,1,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek12,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek120,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek13,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek14,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek15,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek16,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek17,2,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek18,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek19,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek21,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek22,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek23,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek24,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek25,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek26,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek27,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek28,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
CreteCreek29,2,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek11,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek110,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek111,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek112,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek113,2,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek114,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek115,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek116,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek117,1,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek118,1,2,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek119,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek12,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek120,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek121,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek122,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek123,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek124,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek125,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek126,0,1,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek13,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek14,0,1,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek15,0,1,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek16,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek17,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek18,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
HortonCreek19,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek11,0,2,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek110,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek111,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek112,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek113,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek114,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek115,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek116,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek12,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek13,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek14,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek15,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek16,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek17,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek18,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek19,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek21,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek210,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek211,0,1,0,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek22,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek23,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek24,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek25,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek26,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek27,1,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek28,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
LivingstonCreek29,0,NA,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek11,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek12,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek13,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek14,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek15,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek16,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek17,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek18,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek21,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek22,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek23,0,0,NA,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek24,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek25,0,0,3,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek26,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
McAdamCreek27,0,0,0,AMGP,American Golden-Plover,Pluvialis dominica
BunkerHill11,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill12,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill13,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill14,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill15,1,0,5,AMPI,American Pipit,Anthus rubescens
BunkerHill16,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill17,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill21,0,1,0,AMPI,American Pipit,Anthus rubescens
BunkerHill22,0,1,0,AMPI,American Pipit,Anthus rubescens
BunkerHill23,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill24,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill25,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill26,0,0,0,AMPI,American Pipit,Anthus rubescens
BunkerHill27,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek11,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek110,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek111,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek112,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek113,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek114,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek115,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek116,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek117,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek118,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek119,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek12,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek120,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek13,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek14,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek15,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek16,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek17,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek18,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek19,0,0,0,AMPI,American Pipit,Anthus rubescens
CreteCreek21,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek22,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek23,0,1,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek24,0,0,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek25,2,2,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek26,0,1,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek27,0,1,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek28,1,2,NA,AMPI,American Pipit,Anthus rubescens
CreteCreek29,1,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek11,2,3,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek110,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek111,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek112,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek113,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek114,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek115,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek116,0,1,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek117,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek118,0,2,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek119,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek12,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek120,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek121,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek122,1,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek123,1,1,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek124,3,3,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek125,1,1,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek126,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek13,1,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek14,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek15,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek16,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek17,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek18,0,0,NA,AMPI,American Pipit,Anthus rubescens
HortonCreek19,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek11,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek110,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek111,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek112,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek113,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek114,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek115,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek116,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek12,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek13,0,0,0,AMPI,American Pipit,Anthus rubescens
LivingstonCreek14,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek15,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek16,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek17,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek18,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek19,0,0,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek21,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek210,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek211,0,0,0,AMPI,American Pipit,Anthus rubescens
LivingstonCreek22,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek23,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek24,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek25,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek26,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek27,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek28,0,NA,NA,AMPI,American Pipit,Anthus rubescens
LivingstonCreek29,0,NA,NA,AMPI,American Pipit,Anthus rubescens
McAdamCreek11,0,0,0,AMPI,American Pipit,Anthus rubescens
McAdamCreek12,0,0,0,AMPI,American Pipit,Anthus rubescens
McAdamCreek13,0,0,0,AMPI,American Pipit,Anthus rubescens
McAdamCreek14,0,0,0,AMPI,American Pipit,Anthus rubescens
McAdamCreek15,1,0,0,AMPI,American Pipit,Anthus rubescens
McAdamCreek16,0,0,NA,AMPI,American Pipit,Anthus rubescens
McAdamCreek17,0,0,NA,AMPI,American Pipit,Anthus rubescens
McAdamCreek18,0,0,NA,AMPI,American Pipit,Anthus rubescens
McAdamCreek21,0,0,NA,AMPI,American Pipit,Anthus rubescens
McAdamCreek22,0,0,NA,AMPI,American Pipit,Anthus rubescens
